drug,reaction,report_count,ROR,CI_lower,CI_upper,drug_reaction
SOBRIL,GALACTORRHOEA,3,29985.0,1501.83,598670.22,SOBRIL + GALACTORRHOEA
SOBRIL,BREAST ENLARGEMENT,3,29985.0,1501.83,598670.22,SOBRIL + BREAST ENLARGEMENT
STRATTERA,BIPOLAR I DISORDER,3,29985.0,1501.83,598670.22,STRATTERA + BIPOLAR I DISORDER
LITHIONIT,GALACTORRHOEA,3,29985.0,1501.83,598670.22,LITHIONIT + GALACTORRHOEA
CYCLIZINE,CAPILLARY LEAK SYNDROME,3,29985.0,1501.83,598670.22,CYCLIZINE + CAPILLARY LEAK SYNDROME
LITHIONIT,BREAST ENLARGEMENT,3,29985.0,1501.83,598670.22,LITHIONIT + BREAST ENLARGEMENT
IMATINIB,CHRONIC MYELOID LEUKAEMIA,5,24980.0,1939.58,321718.86,IMATINIB + CHRONIC MYELOID LEUKAEMIA
LITHIONIT,BLOOD PROLACTIN INCREASED,3,14991.0,1054.98,213017.64,LITHIONIT + BLOOD PROLACTIN INCREASED
SOBRIL,BLOOD PROLACTIN INCREASED,3,14991.0,1054.98,213017.64,SOBRIL + BLOOD PROLACTIN INCREASED
IMATINIB,CHRONIC GRAFT VERSUS HOST DISEASE,5,12487.5,1178.8,132285.46,IMATINIB + CHRONIC GRAFT VERSUS HOST DISEASE
APREPITANT,CAPILLARY LEAK SYNDROME,3,9993.0,795.69,125500.52,APREPITANT + CAPILLARY LEAK SYNDROME
PROPECIA,SEXUAL DYSFUNCTION,4,9992.0,1116.67,89408.8,PROPECIA + SEXUAL DYSFUNCTION
PROPECIA,ERECTILE DYSFUNCTION,4,9992.0,1116.67,89408.8,PROPECIA + ERECTILE DYSFUNCTION
LIPITOR,TYPE 2 DIABETES MELLITUS,477,7562.94,3300.53,17329.94,LIPITOR + TYPE 2 DIABETES MELLITUS
CIRCADIN,MAJOR DEPRESSION,3,7494.0,636.19,88275.26,CIRCADIN + MAJOR DEPRESSION
STRATTERA,MAJOR DEPRESSION,3,7494.0,636.19,88275.26,STRATTERA + MAJOR DEPRESSION
SUCCINYLCHOLINE,HYPERTHERMIA MALIGNANT,140,5540.24,1356.57,22626.37,SUCCINYLCHOLINE + HYPERTHERMIA MALIGNANT
LETROZOLE (UNKNOWN),BREAST CANCER,77,5520.57,2186.78,13936.79,LETROZOLE (UNKNOWN) + BREAST CANCER
HUMAN CHORIONIC GONADOTROPHIN,ABORTION,3,4995.0,452.87,55092.71,HUMAN CHORIONIC GONADOTROPHIN + ABORTION
PLAN B ONE-STEP,MENSTRUATION IRREGULAR,16,4431.56,1237.29,15872.31,PLAN B ONE-STEP + MENSTRUATION IRREGULAR
SOBRIL,AMENORRHOEA,3,4281.0,395.63,46323.04,SOBRIL + AMENORRHOEA
STRATTERA,SEDATION,3,4281.0,395.63,46323.04,STRATTERA + SEDATION
LITHIONIT,AMENORRHOEA,3,4281.0,395.63,46323.04,LITHIONIT + AMENORRHOEA
